id,label
0,21
1,13
2,1
3,0
4,26
5,15
6,16
7,4
8,21
9,24
10,4
11,16
12,0
13,18
14,6
15,15
16,1
17,14
18,11
19,21
20,26
21,10
22,16
23,15
24,2
25,2
26,19
27,5
28,8
29,19
30,12
31,19
32,9
33,26
34,4
35,4
36,8
37,10
38,14
39,1
40,14
41,7
42,8
43,25
44,20
45,21
46,3
47,23
48,15
49,13
50,15
51,17
52,8
53,20
54,1
55,23
56,18
57,22
58,3
59,18
60,27
61,7
62,24
63,21
64,6
65,17
66,25
67,6
68,21
69,7
70,18
71,26
72,7
73,10
74,20
75,27
76,25
77,4
78,17
79,20
80,25
81,26
82,13
83,14
84,21
85,2
86,24
87,21
88,26
89,9
90,2
91,24
92,18
93,21
94,27
95,2
96,3
97,13
98,27
99,16
100,9
101,18
102,10
103,4
104,1
105,17
106,5
107,27
108,15
109,13
110,9
111,12
112,0
113,27
114,18
115,14
116,4
117,4
118,5
119,14
120,21
121,28
122,13
123,20
124,10
125,6
126,18
127,7
128,3
129,27
130,14
131,21
132,20
133,5
134,0
135,20
136,28
137,9
138,23
139,17
140,8
141,21
142,27
143,25
144,15
145,1
146,22
147,15
148,17
149,20
150,18
151,18
152,2
153,12
154,11
155,7
156,26
157,21
158,4
159,6
160,22
161,1
162,25
163,7
164,28
165,21
166,16
167,20
168,9
169,26
170,12
171,11
172,16
173,5
174,15
175,5
176,18
177,24
178,27
179,22
180,6
181,23
182,5
183,2
184,24
185,27
186,4
187,13
188,27
189,3
190,17
191,23
192,22
193,25
194,19
195,26
196,8
197,11
198,20
199,28
200,25
201,16
202,16
203,27
204,22
205,16
206,22
207,23
208,8
209,21
210,9
211,10
212,28
213,10
214,15
215,7
216,13
217,26
218,26
219,3
220,1
221,18
222,6
223,12
224,27
225,0
226,26
227,18
228,5
229,13
230,13
231,6
232,17
233,11
234,9
235,22
236,7
237,5
238,4
239,6
240,7
241,0
242,2
243,15
244,2
245,16
246,14
247,3
248,4
249,9
250,24
251,28
252,5
253,15
254,0
255,21
256,28
257,1
258,6
259,8
260,19
261,15
262,2
263,4
264,13
265,10
266,10
267,14
268,10
269,7
270,19
271,20
272,23
273,9
274,15
275,2
276,0
277,0
278,19
279,19
280,14
281,14
282,2
283,0
284,24
285,13
286,22
287,3
288,20
289,5
290,28
291,16
292,17
293,17
294,5
295,17
296,19
297,8
298,1
299,24
300,9
301,23
302,17
303,23
304,2
305,9
306,24
307,4
308,5
309,5
310,10
311,0
312,26
313,20
314,18
315,18
316,14
317,23
318,8
319,15
320,14
321,20
322,2
323,23
324,7
325,26
326,0
327,26
328,9
329,26
330,3
331,11
332,18
333,19
334,8
335,21
336,15
337,7
338,16
339,28
340,17
341,15
342,9
343,26
344,6
345,23
346,8
347,1
348,26
349,20
350,16
351,5
352,18
353,23
354,0
355,28
356,19
357,10
358,17
359,28
360,22
361,10
362,10
363,6
364,25
365,18
366,4
367,13
368,16
369,23
370,20
371,28
372,5
373,18
374,5
375,27
376,8
377,14
378,22
379,0
380,20
381,9
382,18
383,24
384,11
385,9
386,9
387,10
388,20
389,12
390,21
391,23
392,11
393,27
394,9
395,14
396,22
397,13
398,6
399,10
400,8
401,25
402,18
403,10
404,16
405,28
406,24
407,25
408,5
409,10
410,10
411,28
412,5
413,2
414,2
415,23
416,13
417,6
418,18
419,25
420,13
421,2
422,8
423,15
424,10
425,15
426,23
427,27
428,24
429,4
430,10
431,20
432,23
433,10
434,20
435,17
436,1
437,9
438,15
439,5
440,14
441,14
442,18
443,8
444,9
445,24
446,13
447,13
448,1
449,17
450,22
451,1
452,7
453,21
454,4
455,7
456,6
457,10
458,1
459,21
460,7
461,5
462,9
463,5
464,25
465,18
466,16
467,18
468,24
469,19
470,19
471,18
472,6
473,1
474,26
475,5
476,14
477,27
478,21
479,16
480,9
481,7
482,3
483,9
484,27
485,1
486,28
487,2
488,12
489,2
490,14
491,23
492,9
493,21
494,18
495,25
496,5
497,7
498,21
499,17
500,24
501,14
502,16
503,8
504,0
505,15
506,9
507,18
508,13
509,4
510,16
511,22
512,3
513,10
514,24
