id,label
0,21
1,17
2,7
3,22
4,26
5,15
6,15
7,4
8,21
9,27
10,27
11,27
12,8
13,18
14,6
15,5
16,0
17,14
18,17
19,21
20,23
21,10
22,16
23,15
24,11
25,24
26,22
27,5
28,25
29,19
30,18
31,19
32,22
33,26
34,4
35,2
36,8
37,10
38,28
39,1
40,14
41,7
42,16
43,25
44,20
45,21
46,3
47,20
48,26
49,13
50,19
51,17
52,4
53,22
54,1
55,8
56,18
57,8
58,3
59,18
60,27
61,7
62,24
63,1
64,6
65,23
66,24
67,0
68,15
69,7
70,18
71,26
72,7
73,10
74,20
75,8
76,25
77,4
78,17
79,20
80,25
81,26
82,2
83,14
84,21
85,8
86,4
87,21
88,8
89,9
90,3
91,24
92,18
93,20
94,9
95,6
96,3
97,6
98,27
99,16
100,11
101,18
102,10
103,17
104,1
105,6
106,9
107,18
108,15
109,10
110,9
111,5
112,0
113,27
114,18
115,14
116,8
117,28
118,5
119,14
120,21
121,11
122,21
123,21
124,17
125,4
126,18
127,20
128,23
129,15
130,14
131,21
132,9
133,5
134,0
135,9
136,20
137,9
138,11
139,17
140,5
141,24
142,10
143,25
144,19
145,1
146,22
147,15
148,17
149,20
150,9
151,17
152,20
153,6
154,11
155,7
156,26
157,28
158,4
159,16
160,22
161,21
162,25
163,7
164,28
165,24
166,17
167,20
168,17
169,26
170,12
171,9
172,16
173,5
174,19
175,5
176,13
177,4
178,27
179,22
180,16
181,23
182,2
183,18
184,24
185,27
186,4
187,13
188,27
189,5
190,11
191,23
192,22
193,25
194,0
195,26
196,8
197,1
198,20
199,28
200,1
201,4
202,16
203,27
204,22
205,16
206,6
207,26
208,8
209,21
210,18
211,0
212,28
213,2
214,26
215,7
216,6
217,26
218,26
219,3
220,28
221,10
222,6
223,12
224,21
225,26
226,26
227,18
228,5
229,17
230,11
231,27
232,15
233,21
234,9
235,14
236,7
237,28
238,4
239,3
240,7
241,0
242,12
243,15
244,20
245,10
246,14
247,3
248,4
249,9
250,24
251,21
252,3
253,13
254,1
255,21
256,28
257,1
258,8
259,8
260,19
261,15
262,18
263,17
264,13
265,10
266,13
267,14
268,13
269,20
270,19
271,20
272,23
273,9
274,25
275,2
276,27
277,13
278,26
279,26
280,14
281,14
282,23
283,0
284,24
285,27
286,10
287,3
288,23
